id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
196,tu maza role model dista ahes,0,0,0,0,0,0
197,madarchod kya karta hai,1,1,1,0,1,0
198,aaj khup chan vatatay na?,0,0,0,0,0,0
199,gandu kya karta hai,1,0,1,0,1,0
200,tu khup talented dista ahes,0,0,0,0,0,0
201,chutiya kya karta hai,1,0,1,0,1,0
202,mi tujhya sobat khup majja karto,0,0,0,0,0,0
203,pagal kya karta hai,1,0,0,0,1,0
204,tu khup sundar dista ahes,0,0,0,0,0,0
205,abe kutta kya karta hai,1,0,1,0,1,0
206,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
207,harami kya karta hai,1,0,1,0,1,0
208,tu maza favorite dost dista ahes,0,0,0,0,0,0
209,bakchod kya karta hai,1,0,1,0,1,0
210,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
211,abe gandu kya karta hai,1,0,1,0,1,0
212,tu kasa dista ahes aaj?,0,0,0,0,0,0
213,ye chutiya kya karta hai,1,0,1,0,1,0
214,aaj khup chan hava vatatay,0,0,0,0,0,0
215,pagal kya karta hai,1,0,0,0,1,0
216,tu maza khup chan friend dista ahes,0,0,0,0,0,0
217,harami kya karta hai,1,0,1,0,1,0
218,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
219,kutta kya karta hai,1,0,1,0,1,0
220,tu khup mast manus dista ahes,0,0,0,0,0,0
221,abe randi kya karta hai,1,1,1,0,1,1
222,tu khup smart dista ahes,0,0,0,0,0,0
223,bakchod kya karta hai,1,0,1,0,1,0
224,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
225,gandu kya karta hai,1,0,1,0,1,0
226,aaj khup sundar divas ahe,0,0,0,0,0,0
227,chutiya kya karta hai,1,0,1,0,1,0
228,tu maza best friend dista ahes,0,0,0,0,0,0
229,pagal kya karta hai,1,0,0,0,1,0
230,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
231,abe harami kya karta hai,1,0,1,0,1,0
232,tu khup hardworking dista ahes,0,0,0,0,0,0
233,kutta kya karta hai,1,0,1,0,1,0
234,mi tujhya sobat khup time ghala,0,0,0,0,0,0
235,bhenchod kya karta hai,1,1,1,0,1,0
236,tu maza role model dista ahes,0,0,0,0,0,0
237,madarchod kya karta hai,1,1,1,0,1,0
238,aaj khup chan vatatay na?,0,0,0,0,0,0
239,gandu kya karta hai,1,0,1,0,1,0
240,tu khup talented dista ahes,0,0,0,0,0,0
241,chutiya kya karta hai,1,0,1,0,1,0
242,mi tujhya sobat khup majja karto,0,0,0,0,0,0
243,pagal kya karta hai,1,0,0,0,1,0
244,tu khup sundar dista ahes,0,0,0,0,0,0
245,abe kutta kya karta hai,1,0,1,0,1,0
246,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
247,harami kya karta hai,1,0,1,0,1,0
248,tu maza favorite dost dista ahes,0,0,0,0,0,0
249,bakchod kya karta hai,1,0,1,0,1,0
250,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
251,abe gandu kya karta hai,1,0,1,0,1,0
252,tu kasa dista ahes aaj?,0,0,0,0,0,0
253,ye chutiya kya karta hai,1,0,1,0,1,0
254,aaj khup chan hava vatatay,0,0,0,0,0,0
255,pagal kya karta hai,1,0,0,0,1,0
256,tu maza khup chan friend dista ahes,0,0,0,0,0,0
257,harami kya karta hai,1,0,1,0,1,0
258,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
259,kutta kya karta hai,1,0,1,0,1,0
260,tu khup mast manus dista ahes,0,0,0,0,0,0
261,abe randi kya karta hai,1,1,1,0,1,1
262,tu khup smart dista ahes,0,0,0,0,0,0
263,bakchod kya karta hai,1,0,1,0,1,0
264,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
265,gandu kya karta hai,1,0,1,0,1,0
266,aaj khup sundar divas ahe,0,0,0,0,0,0
267,chutiya kya karta hai,1,0,1,0,1,0
268,tu maza best friend dista ahes,0,0,0,0,0,0
269,pagal kya karta hai,1,0,0,0,1,0
270,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
271,abe harami kya karta hai,1,0,1,0,1,0
272,tu khup hardworking dista ahes,0,0,0,0,0,0
273,kutta kya karta hai,1,0,1,0,1,0
274,mi tujhya sobat khup time ghala,0,0,0,0,0,0
275,bhenchod kya karta hai,1,1,1,0,1,0
276,tu maza role model dista ahes,0,0,0,0,0,0
277,madarchod kya karta hai,1,1,1,0,1,0
278,aaj khup chan vatatay na?,0,0,0,0,0,0
279,gandu kya karta hai,1,0,1,0,1,0
280,tu khup talented dista ahes,0,0,0,0,0,0
281,chutiya kya karta hai,1,0,1,0,1,0
282,mi tujhya sobat khup majja karto,0,0,0,0,0,0
283,pagal kya karta hai,1,0,0,0,1,0
284,tu khup sundar dista ahes,0,0,0,0,0,0
285,abe kutta kya karta hai,1,0,1,0,1,0
286,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
287,harami kya karta hai,1,0,1,0,1,0
288,tu maza favorite dost dista ahes,0,0,0,0,0,0
289,bakchod kya karta hai,1,0,1,0,1,0
290,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
291,abe gandu kya karta hai,1,0,1,0,1,0
292,tu kasa dista ahes aaj?,0,0,0,0,0,0
293,ye chutiya kya karta hai,1,0,1,0,1,0
294,aaj khup chan hava vatatay,0,0,0,0,0,0
295,pagal kya karta hai,1,0,0,0,1,0
296,tu maza khup chan friend dista ahes,0,0,0,0,0,0
297,harami kya karta hai,1,0,1,0,1,0
298,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
299,kutta kya karta hai,1,0,1,0,1,0
300,tu khup mast manus dista ahes,0,0,0,0,0,0
301,abe randi kya karta hai,1,1,1,0,1,1
302,tu khup smart dista ahes,0,0,0,0,0,0
303,bakchod kya karta hai,1,0,1,0,1,0
304,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
305,gandu kya karta hai,1,0,1,0,1,0
306,aaj khup sundar divas ahe,0,0,0,0,0,0
307,chutiya kya karta hai,1,0,1,0,1,0
308,tu maza best friend dista ahes,0,0,0,0,0,0
309,pagal kya karta hai,1,0,0,0,1,0
310,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
311,abe harami kya karta hai,1,0,1,0,1,0
312,tu khup hardworking dista ahes,0,0,0,0,0,0
313,kutta kya karta hai,1,0,1,0,1,0
314,mi tujhya sobat khup time ghala,0,0,0,0,0,0
315,bhenchod kya karta hai,1,1,1,0,1,0
316,tu maza role model dista ahes,0,0,0,0,0,0
317,madarchod kya karta hai,1,1,1,0,1,0
318,aaj khup chan vatatay na?,0,0,0,0,0,0
319,gandu kya karta hai,1,0,1,0,1,0
320,tu khup talented dista ahes,0,0,0,0,0,0
321,chutiya kya karta hai,1,0,1,0,1,0
322,mi tujhya sobat khup majja karto,0,0,0,0,0,0
323,pagal kya karta hai,1,0,0,0,1,0
324,tu khup sundar dista ahes,0,0,0,0,0,0
325,abe kutta kya karta hai,1,0,1,0,1,0
326,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
327,harami kya karta hai,1,0,1,0,1,0
328,tu maza favorite dost dista ahes,0,0,0,0,0,0
329,bakchod kya karta hai,1,0,1,0,1,0
330,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
331,abe gandu kya karta hai,1,0,1,0,1,0
332,tu kasa dista ahes aaj?,0,0,0,0,0,0
333,ye chutiya kya karta hai,1,0,1,0,1,0
334,aaj khup chan hava vatatay,0,0,0,0,0,0
335,pagal kya karta hai,1,0,0,0,1,0
336,tu maza khup chan friend dista ahes,0,0,0,0,0,0
337,harami kya karta hai,1,0,1,0,1,0
338,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
339,kutta kya karta hai,1,0,1,0,1,0
340,tu khup mast manus dista ahes,0,0,0,0,0,0
341,abe randi kya karta hai,1,1,1,0,1,1
342,tu khup smart dista ahes,0,0,0,0,0,0
343,bakchod kya karta hai,1,0,1,0,1,0
344,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
345,gandu kya karta hai,1,0,1,0,1,0
346,aaj khup sundar divas ahe,0,0,0,0,0,0
347,chutiya kya karta hai,1,0,1,0,1,0
348,tu maza best friend dista ahes,0,0,0,0,0,0
349,pagal kya karta hai,1,0,0,0,1,0
350,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
351,abe harami kya karta hai,1,0,1,0,1,0
352,tu khup hardworking dista ahes,0,0,0,0,0,0
353,kutta kya karta hai,1,0,1,0,1,0
354,mi tujhya sobat khup time ghala,0,0,0,0,0,0
355,bhenchod kya karta hai,1,1,1,0,1,0
356,tu maza role model dista ahes,0,0,0,0,0,0
357,madarchod kya karta hai,1,1,1,0,1,0
358,aaj khup chan vatatay na?,0,0,0,0,0,0
359,gandu kya karta hai,1,0,1,0,1,0
360,tu khup talented dista ahes,0,0,0,0,0,0
361,chutiya kya karta hai,1,0,1,0,1,0
362,mi tujhya sobat khup majja karto,0,0,0,0,0,0
363,pagal kya karta hai,1,0,0,0,1,0
364,tu khup sundar dista ahes,0,0,0,0,0,0
365,abe kutta kya karta hai,1,0,1,0,1,0
366,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
367,harami kya karta hai,1,0,1,0,1,0
368,tu maza favorite dost dista ahes,0,0,0,0,0,0
369,bakchod kya karta hai,1,0,1,0,1,0
370,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
371,abe gandu kya karta hai,1,0,1,0,1,0
372,tu kasa dista ahes aaj?,0,0,0,0,0,0
373,ye chutiya kya,1,0,1,0,1,0
374,aaj khup chan hava vatatay,0,0,0,0,0,0
375,pagal kya karta hai,1,0,0,0,1,0
376,tu maza khup chan friend dista ahes,0,0,0,0,0,0
377,harami kya karta hai,1,0,1,0,1,0
378,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
379,kutta kya karta hai,1,0,1,0,1,0
380,tu khup mast manus dista ahes,0,0,0,0,0,0
381,abe randi kya karta hai,1,1,1,0,1,1
382,tu khup smart dista ahes,0,0,0,0,0,0
383,bakchod kya karta hai,1,0,1,0,1,0
384,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
385,gandu kya karta hai,1,0,1,0,1,0
386,aaj khup sundar divas ahe,0,0,0,0,0,0
387,chutiya kya karta hai,1,0,1,0,1,0
388,tu maza best friend dista ahes,0,0,0,0,0,0
389,pagal kya karta hai,1,0,0,0,1,0
390,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
391,abe harami kya karta hai,1,0,1,0,1,0
392,tu khup hardworking dista ahes,0,0,0,0,0,0
393,kutta kya karta hai,1,0,1,0,1,0
394,mi tujhya sobat khup time ghala,0,0,0,0,0,0
395,bhenchod kya karta hai,1,1,1,0,1,0
396,tu maza role model dista ahes,0,0,0,0,0,0
397,madarchod kya karta hai,1,1,1,0,1,0
398,aaj khup chan vatatay na?,0,0,0,0,0,0
399,gandu kya karta hai,1,0,1,0,1,0
400,tu khup talented dista ahes,0,0,0,0,0,0
401,chutiya kya karta hai,1,0,1,0,1,0
402,mi tujhya sobat khup majja karto,0,0,0,0,0,0
403,pagal kya karta hai,1,0,0,0,1,0
404,tu khup sundar dista ahes,0,0,0,0,0,0
405,abe kutta kya karta hai,1,0,1,0,1,0
406,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
407,harami kya karta hai,1,0,1,0,1,0
408,tu maza favorite dost dista ahes,0,0,0,0,0,0
409,bakchod kya karta hai,1,0,1,0,1,0
410,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
411,abe gandu kya karta hai,1,0,1,0,1,0
412,tu kasa dista ahes aaj?,0,0,0,0,0,0
413,ye chutiya kya,1,0,1,0,1,0
414,aaj khup chan hava vatatay,0,0,0,0,0,0
415,pagal kya karta hai?,1,0,0,0,1,0
416,tu maza khup chan friend dista ahes,0,0,0,0,0,0
417,harami kya karta hai,1,0,1,0,1,0
418,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
419,kutta kya karta hai,1,0,1,0,1,0
420,tu khup mast manus dista ahes,0,0,0,0,0,0
421,abe randi kya karta hai,1,1,1,0,1,1
422,tu khup smart dist Vodka kya dista ahes,0,0,0,0,0,0
423,bakchod kya karta hai,1,0,1,0,1,0
424,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
425,gandu kya karta hai,1,0,1,0,1,0
426,aaj khup sundar divas ahe,0,0,0,0,0,0
427,chutiya kya karta hai,1,0,1,0,1,0
428,tu maza best friend dista ahes,0,0,0,0,0,0
429,pagal kya karta hai,1,0,0,0,1,0
430,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
431,abe harami kya karta hai,1,0,1,0,1,0
432,tu khup hardworking dista ahes,0,0,0,0,0,0
433,kutta kya karta hai,1,0,1,0,1,0
434,mi tujhya sobat khup time ghala,0,0,0,0,0,0
435,bhenchod kya karta hai,1,1,1,0,1,0
436,tu maza role model dista ahes,0,0,0,0,0,0
437,madarchod kya karta hai,1,1,1,0,1,0
438,aaj khup chan vatatay na?,0,0,0,0,0,0
439,gandu kya karta hai,1,0,1,0,1,0
440,tu khup talented dista ahes,0,0,0,0,0,0
441,chutiya kya karta hai,1,0,1,0,1,0
442,mi tujhya sobat khup majja karto,0,0,0,0,0,0
443,pagal kya karta hai,1,0,0,0,1,0
444,tu khup sundar dista ahes,0,0,0,0,0,0
445,abe kutta kya karta hai,1,0,1,0,1,0
446,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
447,harami kya karta hai,1,0,1,0,1,0
448,tu maza favorite dost dista ahes,0,0,0,0,0,0
449,bakchod kya karta hai,1,0,1,0,1,0
450,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
451,abe gandu kya karta hai,1,0,1,0,1,0
452,tu kasa dista ahes aaj?,0,0,0,0,0,0
453,ye chutiya kya karta hai,1,0,1,0,1,0
454,aaj khup chan hava vatatay,0,0,0,0,0,0
455,pagal kya karta hai,1,0,0,0,1,0
456,tu maza khup chan friend dista ahes,0,0,0,0,0,0
457,harami kya karta hai,1,0,1,0,1,0
458,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
459,kutta kya karta hai,1,0,1,0,1,0
460,tu khup mast dista ahes,0,0,0,0,0,0
461,abe randi kya karta hai,1,1,1,0,1,1
462,tu khup smart dista ahes,0,0,0,0,0,0
463,bakchod kya karta hai,1,0,1,0,1,0
464,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
465,gandu kya karta hai,1,0,1,0,1,0
466,aaj khup sundar divas ahe,0,0,0,0,0,0
467,chutiya kya karta hai,1,0,1,0,1,0
468,tu maza best friend dista ahes,0,0,0,0,0,0
469,pagal kya karta hai,1,0,0,0,1,0
470,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
471,abe harami kya karta hai,1,0,1,0,1,0
472,tu khup hardworking dista ahes,0,0,0,0,0,0
473,kutta kya karta hai,1,0,1,0,1,0
474,mi tujhya sobat khup time ghala,0,0,0,0,0,0
475,bhenchod kya karta hai,1,1,1,0,1,0
476,tu maza role model dista ahes,0,0,0,0,0,0
477,madarchod kya karta hai,1,1,1,0,1,0
478,aaj khup chan vatatay na?,0,0,0,0,0,0
479,gandu kya karta hai,1,0,1,0,1,0
480,tu khup talented dista ahes,0,0,0,0,0,0
481,chutiya kya karta hai,1,0,1,0,1,0
482,mi tujhya sobat khup majja karto,0,0,0,0,0,0
483,pagal kya karta hai,1,0,0,0,1,0
484,tu khup sundar dista ahes,0,0,0,0,0,0
485,abe kutta kya karta hai,1,0,1,0,1,0
486,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
487,harami kya karta hai,1,0,1,0,1,0
488,tu maza favorite dost dista ahes,0,0,0,0,0,0
489,bakchod kya karta hai,1,0,1,0,1,0
490,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
491,abe gandu kya karta hai,1,0,1,0,1,0
492,tu kasa dista ahes aaj?,0,0,0,0,0,0
493,ye chutiya kya,1,0,1,0,1,0
494,aaj khup chan hava vatatay,0,0,0,0,0,0
495,pagal kya karta hai?,1,0,0,0,1,0
496,tu maza khup chan friend dista ahes,0,0,0,0,0,0
497,harami kya karta hai,1,0,1,0,1,0
498,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
499,kutta kya karta hai,1,0,1,0,1,0
500,tu khup mast dista ahes,0,0,0,0,0,0
501,abe randi kya karta hai,1,1,1,0,1,1
502,tu khup smart dista ahes,0,0,0,0,0,0
503,bakchod kya karta hai,1,0,1,0,1,0
504,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
505,gandu kya karta hai,1,0,1,0,1,0
506,aaj khup sundar divas ahe,0,0,0,0,0,0
507,chutiya kya karta hai,1,0,1,0,1,0
508,tu maza best friend dista ahes,0,0,0,0,0,0
509,pagal kya karta hai,1,0,0,0,1,0
510,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
511,abe harami kya karta hai,1,0,1,0,1,0
512,tu khup hardworking dista ahes,0,0,0,0,0,0
513,kutta kya karta hai,1,0,1,0,1,0
514,mi tujhya sobat khup time ghala,0,0,0,0,0,0
515,bhenchod kya karta hai,1,1,1,0,1,0
516,tu maza role model dista ahes,0,0,0,0,0,0
517,madarchod kya karta hai,1,1,1,0,1,0
518,aaj khup chan vatatay na?,0,0,0,0,0,0
519,gandu kya karta hai,1,0,1,0,1,0
520,tu khup talented dista ahes,0,0,0,0,0,0
521,chutiya kya karta hai,1,0,1,0,1,0
522,mi tujhya sobat khup majja karto,0,0,0,0,0,0
